"","title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"2","Taxi Driver","MOVIE",1976,"R",114,"['drama', 'crime']","['US']",8.2,808582,40.965,8.179,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Deliverance","MOVIE",1972,"R",109,"['drama', 'action', 'thriller', 'european']","['US']",7.7,107673,10.01,7.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Monty Python and the Holy Grail","MOVIE",1975,"PG",91,"['fantasy', 'action', 'comedy']","['GB']",8.2,534486,15.461,7.811,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"5","The Dirty Dozen","MOVIE",1967,"",150,"['war', 'action']","['GB', 'US']",7.7,72662,20.398,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"7","Life of Brian","MOVIE",1979,"R",94,"['comedy']","['GB']",8,395024,17.77,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8","Dirty Harry","MOVIE",1971,"R",102,"['thriller', 'action', 'crime']","['US']",7.7,155051,12.817,7.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bonnie and Clyde","MOVIE",1967,"R",110,"['crime', 'drama', 'action']","['US']",7.7,112048,15.687,7.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","The Blue Lagoon","MOVIE",1980,"R",104,"['romance', 'action', 'drama']","['US']",5.8,69844,50.324,6.156,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"11","The Guns of Navarone","MOVIE",1961,"",158,"['action', 'drama', 'war']","['GB', 'US']",7.5,50748,13.844,7.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"12","The Professionals","MOVIE",1966,"PG-13",117,"['western', 'action', 'european']","['US']",7.3,16446,13.123,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"13","Richard Pryor: Live in Concert","MOVIE",1979,"R",78,"['comedy', 'documentation']","['US']",8.1,5141,4.718,7.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","White Christmas","MOVIE",1954,"",115,"['romance', 'comedy']","['US']",7.5,42488,8.915,7.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","Cairo Station","MOVIE",1958,"",77,"['drama', 'crime', 'comedy']","['EG']",7.5,4471,5.546,7.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16","Hitler: A Career","MOVIE",1977,"PG",150,"['history', 'documentation', 'european']","['DE']",7.5,2460,4.305,7.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"17","FTA","MOVIE",1972,"R",97,"['war', 'documentation', 'music', 'comedy']","['US']",6.2,418,1.268,6.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"18","Alexandria… Why?","MOVIE",1979,"",133,"['drama']","['EG']",7.2,1727,1.37,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","The Land","MOVIE",1969,"",129,"['drama']","['EG']",8.1,1958,1.265,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20","Dostana","MOVIE",1980,"",161,"['drama', 'comedy', 'crime', 'romance', 'action']","['IN']",2.1,25,3.98,4.9,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"21","Saladin the Victorious","MOVIE",1963,"",186,"['action', 'drama', 'war', 'history', 'romance']","['EG']",7.6,2508,4.156,7.1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
"22","Alibaba Aur 40 Chor","MOVIE",1979,"",146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,565,2.582,6.8,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
"23","The Blazing Sun","MOVIE",1954,"",100,"['crime', 'romance', 'drama']","['EG']",7.4,1219,2.184,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"24","Dark Waters","MOVIE",1956,"",120,"['action', 'drama', 'romance', 'thriller']","['EG']",6.7,610,0.849,5.9,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"25","We Are All for the Fatherland","MOVIE",1979,"",74,"['documentation']","['LB', 'CA', 'FR']",6.1,47,0.6,5.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
