"","title","release_year","age_certification","runtime","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"2","Taxi Driver",-5.00024197700191,"R",0.433034769241133,8.2,7.07848275488875,0.232675052405795,1.71962113073173,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Deliverance",-5.50619081020987,"R",0.248494377420948,7.7,0.716727259840164,-0.143584509507019,0.839899520777085,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Monty Python and the Holy Grail",-5.1267291853039,"PG",-0.41585103313172,8.2,4.59066802548616,-0.0773273338653858,1.35131902326494,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"5","The Dirty Dozen",-6.13862685171981,"",1.76172559034647,7.7,0.398952168298828,-0.017317853743804,1.14014580403806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"7","Life of Brian",-4.62078035209595,"R",-0.305126798039608,8,3.32485014491898,-0.0492613242237548,1.34030999287871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8","Dirty Harry",-5.63267801851185,"R",-0.00986217112731175,7.7,1.14675063212446,-0.109465285139735,1.04006370961773,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bonnie and Clyde",-6.13862685171981,"R",0.285402455784985,7.7,0.756436666183694,-0.0745802926445072,1.04006370961773,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","The Blue Lagoon",-4.49429314379396,"R",0.0639539856007624,5.8,0.373374772395727,0.346434162079258,-0.305039639391423,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"11","The Guns of Navarone",-6.89755010153174,"",2.05699021725876,7.5,0.200051155587485,-0.0969820491492824,0.839899520777085,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"12","The Professionals",-6.2651140600218,"PG-13",0.543759004333244,7.3,-0.111288743017264,-0.105745839946864,0.639735331936437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"13","Richard Pryor: Live in Concert",-4.62078035209595,"R",-0.895656051864201,8.1,-0.213897849008947,-0.207909032254317,1.04006370961773,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","White Christmas",-7.78296055964565,"",0.46994284760517,7.5,0.1250797964109,-0.156894288873665,0.739817426356761,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","Cairo Station",-7.2770117264377,"",-0.932564130228239,7.5,-0.219979060951842,-0.197844651144195,0.839899520777085,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16","Hitler: A Career",-4.87375476869993,"PG",1.76172559034647,7.5,-0.238231773216262,-0.212929067759728,0.839899520777085,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"17","FTA",-5.50619081020987,"R",-0.194402562947497,6.2,-0.256765854988489,-0.24984395354649,-0.361085612266804,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
