"","title","type","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"1","Five Came Back: The Reference Films","SHOW",1945,"TV-MA",51,"['documentation']","['US']",1,NA,NA,0.6,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Monty Python's Flying Circus","SHOW",1969,"TV-14",30,"['comedy', 'european']","['GB']",4,8.8,73424,17.617,8.306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35","Seinfeld","SHOW",1989,"TV-PG",24,"['comedy']","['US']",9,8.9,308824,130.213,8.301,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Knight Rider","SHOW",1982,"TV-PG",51,"['scifi', 'action', 'crime', 'drama']","['US']",4,6.9,34115,50.267,7.5,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"45","Thomas & Friends","SHOW",1984,"TV-Y",10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']","['GB']",24,6.5,5104,42.196,6.5,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1
"46","Saved by the Bell","SHOW",1989,"TV-G",23,"['family', 'comedy', 'romance']","['US']",5,7.1,35034,19.855,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"48","Wheel of Fortune","SHOW",1983,"TV-G",26,"['family']","['US']",39,6.7,3145,5.935,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"53","Major Dad","SHOW",1989,"TV-PG",24,"['comedy', 'family']","['US']",4,6.5,2922,9.849,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"55","Danger Mouse","SHOW",1981,"TV-Y",14,"['animation', 'comedy', 'family', 'scifi', 'european']","['GB']",10,7.4,3545,8.55,7.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
"59","Fireman Sam","SHOW",1987,"TV-Y",10,"['animation', 'comedy', 'family', 'crime', 'european']","['GB']",13,6.1,1785,37.647,7.2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"83","High Risk","SHOW",1988,"TV-PG",50,"['comedy']","['US']",1,3.8,6,1.4,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Survivor","SHOW",2000,"TV-PG",48,"['reality']","['US']",42,7.4,24687,54.19,7.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"93","Stargate SG-1","SHOW",1997,"TV-PG",44,"['scifi', 'drama', 'action']","['CA', 'US']",10,8.4,90196,88.851,8.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"95","Pokémon","SHOW",1997,"TV-Y7",22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']","['JP']",25,7.4,198,115.356,7.633,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"100","One Piece","SHOW",1999,"TV-14",23,"['animation', 'action', 'comedy', 'drama', 'fantasy']","['JP']",21,8.8,117129,143.457,8.764,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"101","The Challenge","SHOW",1998,"TV-14",40,"['reality', 'comedy', 'drama', 'scifi']","['US']",37,7.8,3362,18.075,7.7,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"103","Cowboy Bebop","SHOW",1998,"TV-14",25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']","['JP']",1,8.9,115448,35.402,8.522,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"107","Neon Genesis Evangelion","SHOW",1995,"TV-14",24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']","['JP']",1,8.5,66629,49.27,8.637,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
